date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2017/01/12,4019508.0000,245.0600,2.29,0.9433,2.34,0.9641,243.8400,-1.92,-0.7812,2.52,1.0443,241.5700,-0.43,-0.1777,4.79,2.023,245.4669,-0.3731,-0.1518,2.2345,0.9187
2017/01/13,4182852.0000,245.4300,0.37,0.151,3.14,1.296,244.3000,0.46,0.1886,-0.6,-0.245,242.9100,1.34,0.5547,1.54,0.638,247.7700,2.3031,0.9383,1.57,0.6377
2017/01/17,6272195.0000,242.9400,-2.49,-1.0145,-0.31,-0.1274,235.7400,-8.56,-3.5039,-7.15,-2.9437,235.6100,-7.3,-3.0052,-5.86,-2.4268,243.0600,-4.71,-1.901,-1.63,-0.6661
2017/01/18,7586188.0000,236.0000,-6.94,-2.8567,-4.87,-2.0218,234.2900,-1.45,-0.6151,-8.28,-3.4134,231.5200,-4.09,-1.7359,-7.53,-3.15,237.6900,-5.37,-2.2093,-5.75,-2.362
2017/01/19,4556118.0000,234.0700,-1.93,-0.8178,-8.7,-3.5836,231.4100,-2.88,-1.2292,-14.35,-5.839,230.6200,-0.9,-0.3887,-11.38,-4.7025,234.7500,-2.94,-1.2369,-11.09,-4.5111
2017/01/20,5203429.0000,231.6200,-2.45,-1.0467,-13.44,-5.4844,232.2000,0.79,0.3414,-11.64,-4.7736,230.5400,-0.08,-0.0347,-11.03,-4.566,233.2300,-1.52,-0.6475,-12.2369,-4.9852
2017/01/23,3133419.0000,231.8600,0.24,0.1036,-13.57,-5.5291,232.6700,0.47,0.2024,-11.63,-4.7605,230.7500,0.21,0.0911,-12.16,-5.006,233.7520,0.522,0.2238,-14.018,-5.6577
2017/01/24,4447422.0000,231.8600,0.0,0.0,-11.08,-4.5608,233.6800,1.01,0.4341,-2.06,-0.8738,230.8400,0.09,0.039,-4.77,-2.0245,236.0600,2.308,0.9874,-7.0,-2.8799
2017/01/25,3709718.0000,235.5300,3.67,1.5829,-0.47,-0.1992,237.2500,3.57,1.5277,2.96,1.2634,234.4850,3.645,1.579,2.965,1.2807,237.3300,1.27,0.538,-0.36,-0.1515
2017/01/26,4194098.0000,237.4700,1.94,0.8237,3.4,1.4526,239.5800,2.33,0.9821,8.17,3.5305,237.4700,2.985,1.273,6.85,2.9703,240.7900,3.46,1.4579,6.04,2.5729
2017/01/27,3252245.0000,236.9000,-0.57,-0.24,5.28,2.2796,236.9500,-2.63,-1.0978,4.75,2.0457,236.0100,-1.46,-0.6148,5.47,2.3727,237.9700,-2.82,-1.1711,4.74,2.0323
2017/01/30,3802128.0000,235.5800,-1.32,-0.5572,3.72,1.6044,233.9000,-3.05,-1.2872,1.23,0.5286,231.5200,-4.49,-1.9025,0.77,0.3337,236.2900,-1.68,-0.706,2.538,1.0858
2017/01/31,5147219.0000,232.8500,-2.73,-1.1588,0.99,0.427,229.3200,-4.58,-1.9581,-4.36,-1.8658,228.1600,-3.36,-1.4513,-2.68,-1.161,234.3500,-1.94,-0.821,-1.71,-0.7244
2017/02/01,4024025.0000,230.5100,-2.34,-1.0049,-5.02,-2.1314,230.6700,1.35,0.5887,-6.58,-2.7734,229.5200,1.36,0.5961,-4.965,-2.1174,232.8600,-1.49,-0.6358,-4.47,-1.8835
2017/02/02,2775557.0000,228.5100,-2.0,-0.8676,-8.96,-3.7731,230.4100,-0.26,-0.1127,-9.17,-3.8275,227.0500,-2.47,-1.0762,-10.42,-4.3879,232.3300,-0.53,-0.2276,-8.46,-3.5134
2017/02/03,7369537.0000,234.5200,6.01,2.6301,-2.38,-1.0046,240.9500,10.54,4.5745,4.0,1.6881,234.2000,7.15,3.1491,-1.81,-0.7669,241.1100,8.78,3.7791,3.14,1.3195
2017/02/06,4638430.0000,239.6000,5.08,2.1661,4.02,1.7064,239.9800,-0.97,-0.4026,6.08,2.5994,239.1700,4.97,2.1221,7.65,3.3043,243.6500,2.54,1.0535,7.36,3.1148
2017/02/07,2660079.0000,241.1500,1.55,0.6469,8.3,3.5645,239.6200,-0.36,-0.15,10.3,4.4915,239.3900,0.22,0.092,11.23,4.922,241.4400,-2.21,-0.907,7.09,3.0254
2017/02/08,2743173.0000,238.3000,-2.85,-1.1818,7.79,3.3795,237.7300,-1.89,-0.7887,7.06,3.0606,236.3100,-3.08,-1.2866,6.79,2.9583,238.9400,-2.5,-1.0355,6.08,2.611
2017/02/09,3547860.0000,238.8000,0.5,0.2098,10.29,4.5031,241.5500,3.82,1.6069,11.14,4.8349,237.4200,1.11,0.4697,10.37,4.5673,243.2906,4.3506,1.8208,10.9606,4.7177
2017/02/10,3069187.0000,243.3700,4.57,1.9137,8.85,3.7737,242.7200,1.17,0.4844,1.77,0.7346,241.2300,3.81,1.6048,7.03,3.0017,244.1600,0.8694,0.3574,3.05,1.265
2017/02/13,2996355.0000,244.4900,1.12,0.4602,4.89,2.0409,246.2700,3.55,1.4626,6.29,2.6211,244.4900,3.26,1.3514,5.32,2.2244,247.4800,3.32,1.3598,3.83,1.5719
2017/02/14,4107945.0000,246.0100,1.52,0.6217,4.86,2.0153,249.4600,3.19,1.2953,9.84,4.1065,245.6900,1.2,0.4908,6.3,2.6317,250.0000,2.52,1.0183,8.56,3.5454
2017/02/15,4295449.0000,250.5800,4.57,1.8576,12.28,5.1532,250.5400,1.08,0.4329,12.81,5.3885,248.5100,2.82,1.1478,12.2,5.1627,251.9500,1.95,0.78,13.01,5.4449
2017/02/16,2284692.0000,250.3000,-0.28,-0.1117,11.5,4.8157,249.4400,-1.1,-0.4391,7.89,3.2664,248.4400,-0.07,-0.0282,11.02,4.6416,250.7800,-1.17,-0.4644,7.4894,3.0784
2017/02/17,3262253.0000,247.5100,-2.79,-1.1147,4.14,1.7011,250.3800,0.94,0.3768,7.66,3.1559,247.1100,-1.33,-0.5353,5.88,2.4375,250.5600,-0.22,-0.0877,6.4,2.6212
2017/02/21,2793939.0000,251.0000,3.49,1.41,6.51,2.6627,251.7600,1.38,0.5512,5.49,2.2293,250.7100,3.6,1.4568,6.22,2.5441,252.6500,2.09,0.8341,5.17,2.0891
2017/02/22,2378496.0000,250.0600,-0.94,-0.3745,4.05,1.6463,251.7300,-0.03,-0.0119,2.27,0.91,250.0000,-0.71,-0.2832,4.31,1.7542,252.3500,-0.3,-0.1187,2.35,0.94
2017/02/23,2593237.0000,251.3100,1.25,0.4999,0.73,0.2913,251.1900,-0.54,-0.2145,0.65,0.2594,249.3220,-0.678,-0.2712,0.812,0.3267,251.9000,-0.45,-0.1783,-0.05,-0.0198
2017/02/24,3563636.0000,247.7000,-3.61,-1.4365,-2.6,-1.0388,247.3500,-3.84,-1.5287,-2.09,-0.8379,246.1000,-3.222,-1.2923,-2.34,-0.9419,248.8800,-3.02,-1.1989,-1.9,-0.7576
2017/02/27,2372851.0000,247.2100,-0.49,-0.1978,-0.3,-0.1212,249.3300,1.98,0.8005,-1.05,-0.4194,246.6100,0.51,0.2072,-0.5,-0.2023,249.7600,0.88,0.3536,-0.8,-0.3193
2017/02/28,3626273.0000,248.0000,0.79,0.3196,-3.0,-1.1952,248.0600,-1.27,-0.5094,-3.7,-1.4697,245.6100,-1.0,-0.4055,-5.1,-2.0342,249.0000,-0.76,-0.3043,-3.65,-1.4447
2017/03/01,5209587.0000,253.7100,5.71,2.3024,3.65,1.4596,252.7100,4.65,1.8745,0.98,0.3893,251.2600,5.65,2.3004,1.26,0.504,255.1500,6.15,2.4699,2.8,1.1096
2017/03/02,3016447.0000,253.5200,-0.19,-0.0749,2.21,0.8794,251.0600,-1.65,-0.6529,-0.13,-0.0518,250.9700,-0.29,-0.1154,1.648,0.661,254.2352,-0.9148,-0.3585,2.3352,0.927
2017/03/03,3167794.0000,251.7300,-1.79,-0.7061,4.03,1.627,252.8900,1.83,0.7289,5.54,2.2397,251.5000,0.53,0.2112,5.4,2.1942,254.7500,0.5148,0.2025,5.87,2.3586
2017/03/06,2463809.0000,252.1700,0.44,0.1748,4.96,2.0064,252.0100,-0.88,-0.348,2.68,1.0749,250.5000,-1.0,-0.3976,3.89,1.5774,252.7300,-2.02,-0.7929,2.97,1.1891
2017/03/07,2495518.0000,252.4900,0.32,0.1269,4.49,1.8105,250.9000,-1.11,-0.4405,2.84,1.1449,250.3100,-0.19,-0.0758,4.7,1.9136,253.0000,0.27,0.1068,4.0,1.6064
2017/03/08,3582149.0000,253.6200,1.13,0.4475,-0.09,-0.0355,250.2400,-0.66,-0.2631,-2.47,-0.9774,249.6100,-0.7,-0.2797,-1.65,-0.6567,254.7700,1.77,0.6996,-0.38,-0.1489
2017/03/09,3058569.0000,251.2200,-2.4,-0.9463,-2.3,-0.9072,250.1800,-0.06,-0.024,-0.88,-0.3505,249.5200,-0.09,-0.0361,-1.45,-0.5778,252.7400,-2.03,-0.7968,-1.4952,-0.5881
2017/03/10,3364003.0000,251.8400,0.62,0.2468,0.11,0.0437,248.3800,-1.8,-0.7195,-4.51,-1.7834,246.8700,-2.65,-1.062,-4.63,-1.841,251.9000,-0.84,-0.3324,-2.85,-1.1187
2017/03/13,1800123.0000,249.3200,-2.52,-1.0006,-2.85,-1.1302,248.1600,-0.22,-0.0886,-3.85,-1.5277,247.2083,0.3383,0.137,-3.2917,-1.3141,249.3200,-2.58,-1.0242,-3.41,-1.3493
2017/03/14,2143471.0000,246.8100,-2.51,-1.0067,-5.68,-2.2496,247.7200,-0.44,-0.1773,-3.18,-1.2674,245.4100,-1.7983,-0.7274,-4.9,-1.9576,247.8300,-1.49,-0.5976,-5.17,-2.0435
2017/03/15,3424809.0000,248.3500,1.54,0.624,-5.27,-2.0779,246.7800,-0.94,-0.3795,-3.46,-1.3827,245.5600,0.15,0.0611,-4.05,-1.6225,250.2800,2.45,0.9886,-4.49,-1.7624
2017/03/16,2938753.0000,247.8500,-0.5,-0.2013,-3.37,-1.3415,248.2200,1.44,0.5835,-1.96,-0.7834,247.3100,1.75,0.7127,-2.21,-0.8857,250.2000,-0.08,-0.032,-2.54,-1.005
2017/03/17,5426392.0000,249.6800,1.83,0.7383,-2.16,-0.8577,243.9400,-4.28,-1.7243,-4.44,-1.7876,243.8600,-3.45,-1.395,-3.01,-1.2193,249.6800,-0.52,-0.2078,-2.22,-0.8813
