date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2017/05/25,4817312.0000,984.8500,8.85,0.9068,40.05,4.239,993.3800,13.03,1.3291,34.89,3.6401,982.1100,11.88,1.2245,37.35,3.9534,999.0000,18.0,1.8349,36.25,3.7653
2017/05/26,3462132.0000,995.0000,10.15,1.0306,32.16,3.3401,995.7800,2.4,0.2416,35.94,3.7444,989.2491,7.1391,0.7269,29.5291,3.0768,998.6500,-0.35,-0.035,29.73,3.0684
2017/05/30,3256230.0000,996.5100,1.51,0.1518,32.51,3.3724,996.7000,0.92,0.0924,26.03,2.6817,995.5200,6.2709,0.6339,32.62,3.3877,1001.2000,2.55,0.2553,29.82,3.0699
2017/05/31,3913721.0000,1000.0000,3.49,0.3502,24.98,2.562,994.6200,-2.08,-0.2087,23.08,2.3756,982.1600,-13.36,-1.342,15.31,1.5835,1000.1200,-1.08,-0.1079,24.92,2.5554
2017/06/01,2451407.0000,998.5900,-1.41,-0.141,22.59,2.3145,995.9500,1.33,0.1337,15.6,1.5913,991.3700,9.21,0.9377,21.14,2.1789,998.9900,-1.13,-0.113,17.99,1.8338
2017/06/02,3749489.0000,998.9900,0.4,0.0401,14.14,1.4358,1006.7300,10.78,1.0824,13.35,1.3439,995.6700,4.3,0.4337,13.56,1.3807,1008.4800,9.49,0.95,9.48,0.9489
2017/06/05,2717283.0000,1007.2300,8.24,0.8248,12.23,1.2291,1011.3400,4.61,0.4579,15.56,1.5626,1003.5100,7.84,0.7874,14.2609,1.4416,1013.2100,4.73,0.469,14.56,1.458
2017/06/06,3341855.0000,1012.0000,4.77,0.4736,15.49,1.5544,1003.0000,-8.34,-0.8246,6.3,0.6321,1001.2500,-2.26,-0.2252,5.73,0.5756,1016.5000,3.29,0.3247,15.3,1.5282
2017/06/07,2818880.0000,1005.9500,-6.05,-0.5978,5.95,0.595,1010.0700,7.07,0.7049,15.45,1.5534,1002.0000,0.75,0.0749,19.84,2.02,1010.2490,-6.251,-0.615,10.129,1.0128
2017/06/08,2756796.0000,1012.0600,6.11,0.6074,13.47,1.3489,1010.2700,0.2,0.0198,14.32,1.4378,1006.1100,4.11,0.4102,14.74,1.4868,1013.6100,3.361,0.3327,14.62,1.4635
2017/06/09,7634038.0000,1012.5000,0.44,0.0435,13.51,1.3524,978.3100,-31.96,-3.1635,-28.42,-2.823,927.0000,-79.11,-7.863,-68.67,-6.8969,1012.9900,-0.62,-0.0612,4.51,0.4472
