date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2020/02/26,70769200.0000,156.5000,-13.3,-7.8327,-28.2,-15.268,155.7600,-4.222,-2.639,-27.724,-15.1098,155.2220,-2.178,-1.3837,-24.982,-13.8632,162.6620,-8.658,-5.0537,-26.294,-13.9154
2020/02/27,121385800.0000,146.0000,-10.5,-6.7093,-36.39,-19.9518,135.8000,-19.96,-12.8146,-44.082,-24.5061,133.8000,-21.422,-13.8009,-38.188,-22.2039,147.9540,-14.708,-9.0421,-34.446,-18.8849
2020/02/28,122820850.0000,125.9400,-20.06,-13.7397,-55.456,-30.5718,133.5980,-2.202,-1.6215,-46.602,-25.8613,122.3040,-11.496,-8.5919,-53.786,-30.5446,138.1040,-9.85,-6.6575,-44.508,-24.373
2020/03/02,100974950.0000,142.2520,16.312,12.9522,-25.548,-15.2253,148.7240,15.126,11.322,-18.034,-10.8145,137.3340,15.03,12.2891,-27.106,-16.4838,148.7380,10.634,7.7,-23.962,-13.8749
2020/03/03,128920000.0000,161.0000,18.748,13.1794,-8.8,-5.1826,149.1020,0.378,0.2542,-10.88,-6.8008,143.2221,5.8881,4.2874,-14.1779,-9.0076,161.3960,12.658,8.5103,-9.924,-5.7927
2020/03/04,75244900.0000,152.7921,-8.2079,-5.0981,-3.7079,-2.3693,149.9000,0.798,0.5352,-5.86,-3.7622,144.9469,1.7248,1.2043,-10.2751,-6.6196,153.3040,-8.092,-5.0138,-9.358,-5.753
2020/03/05,54263300.0000,144.7540,-8.0381,-5.2608,-1.246,-0.8534,144.9080,-4.992,-3.3302,9.108,6.7069,143.6140,-1.3329,-0.9196,9.814,7.3348,149.1500,-4.154,-2.7096,1.196,0.8084
2020/03/06,63314600.0000,138.0008,-6.7532,-4.6653,12.0608,9.5766,140.6960,-4.212,-2.9067,7.098,5.313,136.8540,-6.76,-4.7071,14.55,11.8966,141.4000,-7.75,-5.1961,3.296,2.3866
2020/03/09,85368700.0000,121.0780,-16.9228,-12.2628,-21.174,-14.8849,121.6000,-19.096,-13.5725,-27.124,-18.2378,121.0000,-15.854,-11.5846,-16.334,-11.8936,132.5996,-8.8004,-6.2238,-16.1384,-10.8502
2020/03/10,77972200.0000,131.8860,10.808,8.9265,-29.114,-18.0832,129.0660,7.466,6.1398,-20.036,-13.4378,121.6000,0.6,0.4959,-21.6221,-15.0969,133.6000,1.0004,0.7545,-27.796,-17.2222
2020/03/11,67067950.0000,128.0400,-3.846,-2.9162,-24.7521,-16.1999,126.8460,-2.22,-1.7201,-23.054,-15.3796,122.6000,1.0,0.8224,-22.3469,-15.4173,130.7160,-2.884,-2.1587,-22.588,-14.7341
2020/03/12,94545250.0000,116.1780,-11.862,-9.2643,-28.576,-19.7411,112.1100,-14.736,-11.6172,-32.798,-22.6337,109.2500,-13.35,-10.8891,-34.364,-23.928,118.9000,-11.816,-9.0394,-30.25,-20.2816
